"Task ID","Task Owner ID",Subject,"Due Date","Contact Name","Related To",Status,Priority,"Created By","Modified By","Created Time","Modified Time",Description,"Send Notification Email",Reminder,Repeat,Currency,"Exchange Rate","Closed Time",Layout
zcrm_1236681000000393004,zcrm_1236681000000071001,"SKH - CB Tracy Salvato of Massimo's for dec on Featured Venue Offer $299/show 510-792-2000",2014-08-20,,zcrm_1236681000000365231,Completed,High,zcrm_1236681000000071001,zcrm_1236681000000071001,"2014-08-13 13:56:20","2014-09-11 15:32:45",,false,"2014-08-20 09:00:00",,,,,
zcrm_1236681000000393012,zcrm_1236681000000230001,"Call IB -Hair and Makeup",,,zcrm_1236681000000391001,Completed,High,zcrm_1236681000000071001,zcrm_1236681000000230001,"2014-08-13 15:33:48","2014-09-30 10:30:25","8/13 VK LVM",false,"2014-08-20 10:00:00",,,,,
zcrm_1236681000000393048,zcrm_1236681000000071001,"CB Daudia",2013-09-03,,zcrm_1236681000000379627,"Not Started",High,zcrm_1236681000000071001,zcrm_1236681000000071001,"2014-08-14 12:35:19","2014-08-14 12:35:19",,false,"2014-09-02 09:00:00",,,,,
zcrm_1236681000000395008,zcrm_1236681000000071001,"SKH - CB Veronica @ Zeel Massage for dec on $599/499/399 offer sent",2014-08-19,,zcrm_1236681000000395003,"Not Started",High,zcrm_1236681000000071001,zcrm_1236681000000071001,"2014-08-14 12:30:06","2014-08-14 12:30:06",,false,"2014-08-19 09:00:00",,,,,
zcrm_1236681000000395019,zcrm_1236681000000071001,"SKH  8/14/14 SKH CB Josina for dec on $1599/1499/1399 ML - $999/899/799 SL w/ FC + TI special of $1099/699 per show all deluxe",2014-08-19,,zcrm_1236681000000390005,"Not Started",High,zcrm_1236681000000071001,zcrm_1236681000000071001,"2014-08-14 18:08:18","2014-08-14 18:08:18",,false,"2014-08-19 09:00:00",,,,,
zcrm_1236681000000421004,zcrm_1236681000000071001,"SKH - CB Don San Mateo for dec on $1199/1099/999 offer sent 8/19. He's mainly interested in Pleasanton 11/23",2015-09-02,,zcrm_1236681000000353372,Completed,High,zcrm_1236681000000071001,zcrm_1236681000000071001,"2014-08-19 11:05:27","2014-09-11 12:18:08",,false,"2014-09-02 09:00:00",,,,,
zcrm_1236681000000422018,zcrm_1236681000000071001,"CB Spensor -Photo",,,zcrm_1236681000000226224,Completed,High,zcrm_1236681000000071001,zcrm_1236681000000071001,"2014-08-19 13:55:51","2014-08-22 11:17:09",,false,,,,,,
zcrm_1236681000000422044,zcrm_1236681000000071001,"VK CB Jules -Photo",2014-09-11,,zcrm_1236681000000352003,"Not Started",High,zcrm_1236681000000071001,zcrm_1236681000000230001,"2014-08-19 16:15:50","2014-09-10 16:59:26","Offer $699 for FC + TI",false,,,,,,
zcrm_1236681000000432006,zcrm_1236681000000071001,"CB AJ Patell for dec on 2 for 1 Multi-Line or Single line options for FC & TI. Passed until he attends FC show as preview",2014-08-22,,zcrm_1236681000000383284,Completed,High,zcrm_1236681000000071001,zcrm_1236681000000071001,"2014-08-20 11:33:02","2014-08-22 10:50:24",,false,"2014-08-22 14:00:00",,,,,
zcrm_1236681000000432013,zcrm_1236681000000071001,"CB Ana Lopez for dec on 3 shows for Lia Sophia",2014-09-02,,zcrm_1236681000000385657,Completed,High,zcrm_1236681000000071001,zcrm_1236681000000071001,"2014-08-20 15:25:19","2014-09-11 13:20:52",,false,"2014-09-02 09:00:00",,,,,
zcrm_1236681000000432018,zcrm_1236681000000071001,"CB Ana Lopez as postential Bag Sponsor...$700",2014-09-04,,zcrm_1236681000000385657,Completed,High,zcrm_1236681000000071001,zcrm_1236681000000071001,"2014-08-20 15:26:31","2014-09-11 13:19:22",,false,,,,,,
zcrm_1236681000000432025,zcrm_1236681000000071001,"SKH - CB Nicole Evans at Rockbar Theatre for Venue offer for shows in Late Oct or November",2014-10-01,,zcrm_1236681000000418001,"Not Started",High,zcrm_1236681000000071001,zcrm_1236681000000071001,"2014-08-20 16:39:17","2014-09-26 11:23:54",,false,"2014-10-01 09:00:00",,,,,
zcrm_1236681000000432034,zcrm_1236681000000071001,"SKH CB Paige Moore of It Works for $999 2 for 1offer for FC + TI",2014-09-11,,zcrm_1236681000000383320,Completed,High,zcrm_1236681000000071001,zcrm_1236681000000071001,"2014-08-20 16:47:12","2014-09-11 15:32:34",,false,,,,,,
