Wedding Fair Id,Wedding Fair Name,Wedding Fair Owner Id,Email,Secondary Email,Created By,Modified By,Created Time,Modified Time,Last Activity Time,Currency,Exchange Rate,Wedding Fair Name,Wedding Fair Date,Wedding Fair Location,Email Opt Out,Layout
zcrm_1236681000000223873,Concord Fall 2013,zcrm_1236681000000071001,,,zcrm_1236681000000071001,zcrm_1236681000000071001,8/12/14 2:14,8/12/14 2:14,,,,Concord Fall 2013,11/24/13,Concord Crowne Plaza,FALSE,
zcrm_1236681000000223874,San Ramon Marriott Fall 2013,zcrm_1236681000000071001,,,zcrm_1236681000000071001,zcrm_1236681000000071001,8/12/14 2:14,8/12/14 2:14,,,,San Ramon Marriott Fall 2013,10/13/13,San Ramon Marriott,FALSE,
zcrm_1236681000000223875,Foster City Fall 2013,zcrm_1236681000000071001,,,zcrm_1236681000000071001,zcrm_1236681000000071001,8/12/14 2:14,8/12/14 2:14,,,,Foster City Fall 2013,9/15/13,Foster City Crowne Plaza,FALSE,
zcrm_1236681000000223876,Milpitas Fall 2013,zcrm_1236681000000071001,,,zcrm_1236681000000071001,zcrm_1236681000000071001,8/12/14 2:14,8/12/14 2:14,,,,Milpitas Fall 2013,8/25/13,Milpitas Embassy Suites,FALSE,
zcrm_1236681000000223877,San Francisco Fall 2013,zcrm_1236681000000071001,,,zcrm_1236681000000071001,zcrm_1236681000000071001,8/12/14 2:14,8/12/14 2:14,,,,San Francisco Fall 2013,11/3/13,Parc 55 Hotel,FALSE,
zcrm_1236681000000223878,Foster City Fall 2014,zcrm_1236681000000071001,,,zcrm_1236681000000071001,zcrm_1236681000000071001,8/12/14 2:14,8/12/14 2:14,,,,Foster City Fall 2014,8/28/14,Foster City Crowne Plaza,FALSE,
zcrm_1236681000000223879,Fremont Fall 2014 Wedding Fair,zcrm_1236681000000071001,,,zcrm_1236681000000071001,zcrm_1236681000000071001,8/12/14 2:14,8/12/14 2:14,,,,Fremont Fall 2014 Wedding Fair,9/21/14,Fremont Hilton Wedding Fair,FALSE,
zcrm_1236681000000223880,San Francisco Fall 2014 Wedding Fair,zcrm_1236681000000071001,,,zcrm_1236681000000071001,zcrm_1236681000000071001,8/12/14 2:14,8/12/14 2:14,,,,San Francisco Fall 2014 Wedding Fair,10/12/14,Par 55,FALSE,
zcrm_1236681000000223881,Concord Fall 2014 Wedding Fair,zcrm_1236681000000071001,,,zcrm_1236681000000071001,zcrm_1236681000000071001,8/12/14 2:14,8/12/14 2:14,,,,Concord Fall 2014 Wedding Fair,10/26/14,Concord Crowne Plaza,FALSE,
zcrm_1236681000000223882,Treasure Island Fall 2014 Wedding Fair,zcrm_1236681000000071001,,,zcrm_1236681000000071001,zcrm_1236681000000071001,8/12/14 2:14,8/12/14 2:14,,,,Treasure Island Fall 2014 Wedding Fair,11/16/14,Treasure Island Wedding Fair,FALSE,
zcrm_1236681000000223883,Fremont Hilton Spring 2014,zcrm_1236681000000071001,,,zcrm_1236681000000071001,zcrm_1236681000000071001,8/12/14 2:14,8/12/14 2:14,,,,Fremont Hilton Spring 2014,2/9/14,Fremont Hilton Wedding Fair,FALSE,
zcrm_1236681000000223884,Concord Spring 2014,zcrm_1236681000000071001,,,zcrm_1236681000000071001,zcrm_1236681000000071001,8/12/14 2:14,8/12/14 2:14,,,,Concord Spring 2014,5/4/14,Concord Crowne Plaza,FALSE,
zcrm_1236681000000223885,Treasure Island Spring 2014,zcrm_1236681000000071001,,,zcrm_1236681000000071001,zcrm_1236681000000071001,8/12/14 2:14,8/12/14 2:14,,,,Treasure Island Spring 2014,5/29/14,Treasure Island Wedding Fair,FALSE,
zcrm_1236681000000223886,San Ramon Marriott Spring 2014,zcrm_1236681000000071001,,,zcrm_1236681000000071001,zcrm_1236681000000071001,8/12/14 2:14,8/12/14 2:14,,,,San Ramon Marriott Spring 2014,3/30/14,San Ramon Marriott,FALSE,
zcrm_1236681000000223887,Foster City Spring 2014,zcrm_1236681000000071001,,,zcrm_1236681000000071001,zcrm_1236681000000071001,8/12/14 2:14,8/12/14 2:14,,,,Foster City Spring 2014,3/2/14,Foster City Crowne Plaza,FALSE,
